
PROGRAM INTERNAL FORMCode              Pos in ST
28             -1
0             47
28             -1
0             48
28             -1
28             -1
0             26
29             -1
24             -1
1             15
30             -1
25             -1
0             47
30             -1
25             -1
0             48
30             -1
25             -1
0             49
31             -1
2             -1
0             47
14             -1
0             48
3             -1
26             -1
2             -1
0             47
14             -1
0             49
3             -1
6             -1
32             -1
0             26
17             -1
0             47
33             -1
31             -1
2             -1
0             48
14             -1
0             47
3             -1
26             -1
2             -1
0             48
14             -1
0             49
3             -1
6             -1
32             -1
0             26
17             -1
0             48
33             -1
0             26
17             -1
0             49
29             -1
24             -1
1             0
24             -1
0             26

